BuyTime:2021-10-07 16:39:10, BuyPrice:0.11532000, BuyQuantity:346.80000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 16:47:34, SellPrice:0.11504000, SellQuantity:346.80000000, SellType:LONG exit signal 1, Outcome:-0.09710400
BuyTime:2021-10-07 16:59:10, BuyPrice:0.11525000, BuyQuantity:346.90000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 17:02:51, SellPrice:0.11479000, SellQuantity:346.90000000, SellType:LONG exit stop-loss, Outcome:-0.15957400
BuyTime:2021-10-07 18:04:22, BuyPrice:0.11391000, BuyQuantity:346.80000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 18:16:57, SellPrice:0.11371000, SellQuantity:346.80000000, SellType:LONG exit signal 1, Outcome:-0.06936000
BuyTime:2021-10-07 19:11:59, BuyPrice:0.11349000, BuyQuantity:346.80000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 19:23:08, SellPrice:0.11251000, SellQuantity:346.80000000, SellType:LONG exit signal 1, Outcome:-0.33986400
BuyTime:2021-10-07 19:41:39, BuyPrice:0.11342000, BuyQuantity:346.80000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 20:13:16, SellPrice:0.11480000, SellQuantity:346.80000000, SellType:LONG exit signal 1, Outcome:0.47858400
BuyTime:2021-10-07 20:40:07, BuyPrice:0.11382000, BuyQuantity:345.10000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 20:54:06, SellPrice:0.11363000, SellQuantity:345.10000000, SellType:LONG exit signal 1, Outcome:-0.06556900
BuyTime:2021-10-07 21:03:24, BuyPrice:0.11404000, BuyQuantity:345.10000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 21:08:45, SellPrice:0.11358000, SellQuantity:345.10000000, SellType:LONG exit stop-loss, Outcome:-0.15874600
BuyTime:2021-10-07 21:16:08, BuyPrice:0.11510000, BuyQuantity:345.10000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 21:18:16, SellPrice:0.11464000, SellQuantity:345.10000000, SellType:LONG exit stop-loss, Outcome:-0.15874600
BuyTime:2021-10-07 21:19:47, BuyPrice:0.11495000, BuyQuantity:345.10000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 21:30:59, SellPrice:0.11438000, SellQuantity:345.10000000, SellType:LONG exit signal 1, Outcome:-0.19670700
BuyTime:2021-10-07 21:36:08, BuyPrice:0.11458000, BuyQuantity:349.10000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 22:05:36, SellPrice:0.11484000, SellQuantity:349.10000000, SellType:LONG exit signal 1, Outcome:0.09076600
BuyTime:2021-10-07 22:10:52, BuyPrice:0.11495000, BuyQuantity:347.50000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 22:20:07, SellPrice:0.11449000, SellQuantity:347.50000000, SellType:LONG exit stop-loss, Outcome:-0.15985000
BuyTime:2021-10-08 04:50:35, BuyPrice:0.11330000, BuyQuantity:353.00000000, BuyType:LONG entry signal 1, SellTime:2021-10-08 05:20:19, SellPrice:0.11324000, SellQuantity:353.00000000, SellType:LONG exit signal 1, Outcome:-0.02118000
BuyTime:2021-10-08 05:55:38, BuyPrice:0.11353000, BuyQuantity:351.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-08 06:25:06, SellPrice:0.11192000, SellQuantity:351.60000000, SellType:LONG exit signal 1, Outcome:-0.56607600
BuyTime:2021-10-08 08:25:18, BuyPrice:0.11325000, BuyQuantity:351.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-08 09:31:32, SellPrice:0.11280000, SellQuantity:351.60000000, SellType:LONG exit stop-loss, Outcome:-0.15822000
BuyTime:2021-10-08 10:55:13, BuyPrice:0.11375000, BuyQuantity:347.50000000, BuyType:LONG entry signal 1, SellTime:2021-10-08 10:59:20, SellPrice:0.11330000, SellQuantity:347.50000000, SellType:LONG exit stop-loss, Outcome:-0.15637500
BuyTime:2021-10-08 10:59:26, BuyPrice:0.11338000, BuyQuantity:347.50000000, BuyType:LONG entry signal 1, SellTime:2021-10-08 11:01:17, SellPrice:0.11293000, SellQuantity:347.50000000, SellType:LONG exit stop-loss, Outcome:-0.15637500
